"SKU","DESCRIPTION","YEAR","CAPACITY","URL","PRICE","SELLER_INFORMATION","OFFER_DESCRIPTION","COUNTRY"
11339,"Barolo Bussia Colonnello,Aldo Conterno",1990,"750ml","https://www.wine-searcher.com/find/barolo+bussia+colonello+aldo+conterno/1990","$266.00","The Redd Collection","1990Barolo Bussia Colonnello,Aldo Conterno","USA (CA)"
11340,"Barolo Monprivato,Giuseppe Mascarello",1989,"750ml","https://www.wine-searcher.com/find/barolo+monprivato+giuseppe+mascarello/1989","$949.00","Benchmark Wine Group","Giuseppe Mascarello Barolo Monprivato1989","USA (CA)"
11342,"Barolo,Gran Bussia,Aldo Conterno",1990,"750ml","https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u","$499.00","Benchmark Wine Group","Aldo Conterno Barolo Riserva Gran Bussia1990","USA (CA)"
11342,"Barolo,Gran Bussia,Aldo Conterno",1990,"750ml","https://www.wine-searcher.com/find/barolo+granbussia+aldo+conterno/1990/-/-/u","$607.00","The Redd Collection","1990Barolo,Granbussia,Aldo Conterno","USA (CA)"
11343,"Barolo,Sperss,Angelo Gaja",2000,"750ml","https://www.wine-searcher.com/find/barolo+sperss+angelo+gaja/2000/-/-/u","$228.00","The Redd Collection","2000Barolo,Sperss,Angelo Gaja","USA (CA)"
11344,"Beaune,Closdes Mouches,rouge,Domaine Joseph Drouhin",2005,"750ml","https://www.wine-searcher.com/find/beaune+clos+de+mouches+rouge+dom+joseph+drouhin/2005/-/-/u","$145.00","The Redd Collection","2005Beaune,Closdes Mouches,Rouge,Domaine Joseph Drouhin","USA (CA)"
11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,"750ml","https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u","$626.00","The Redd Collection","2015Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive","USA (CA)"
11345,"Bienvenues-Batard-Montrachet,Domaine Vincent Leflaive",2015,"750ml","https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2015/-/-/u","$2499.00","Benchmark Wine Group","Domaine Leflaive Bienvenues Batard Montrachet20153L","USA (CA)"
11346,"Bonnes Mares,Domaine Comte Georgesde Vogue",2011,"750ml","https://www.wine-searcher.com/find/bienvenue+batard+montrachet+dom+vincent+leflaive/2011/-/-/u","$499.97","Flask Fine Wine & Whisky","Domaine Leflaive-Bienvenues-Batard-Montrachet2011","USA (CA)"
11347,"Bonnes Mares,Domaine Drouhin Laroze",2010,"750ml","https://www.wine-searcher.com/find/bonnes+mares+domaine+drouhin+laroze/2010","$158.00","The Redd Collection","2010Bonnes Mares,Domaine Drouhin Laroze","USA (CA)"
11348,"Carruades De Lafite",1999,"750ml","https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u","$255.00","Belmont Wine Exchange LLC","1999Carruadesde Lafite","USA (CA)"
11348,"Carruades De Lafite",1999,"750ml","https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u","$325.55","Aabalat Fine & Rare Wines","1999Carruadesde Lafite Pauillac,Red Blend","USA (CA)"
11348,"Carruades De Lafite",1999,"750ml","https://www.wine-searcher.com/find/carruades+de+lafite/1999/-/-/u","$377.00","The Redd Collection","1999Carruadesde Lafite","USA (CA)"
11349,"Carruades De Lafite",2003,"750ml","https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u","$249.00","Aabalat Fine & Rare Wines","2003Carruadesde Lafite Pauillac,Red Blend","USA (CA)"
11349,"Carruades De Lafite",2003,"750ml","https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u","$305.00","Belmont Wine Exchange LLC","2003Carruadesde Lafite","USA (CA)"
11349,"Carruades De Lafite",2003,"750ml","https://www.wine-searcher.com/find/carruades+de+lafite/2003/-/-/u","$380.00","The Redd Collection","2003Carruadesde Lafite","USA (CA)"
11350,"Ch Angelus",1994,"750ml","https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u","$232.89","Aabalat Fine & Rare Wines","1994Angelus StEmilion,Red Blend","USA (CA)"
11350,"Ch Angelus",1994,"750ml","https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u","$373.00","The Redd Collection","1994Ch Angelus","USA (CA)"
11350,"Ch Angelus",1994,"750ml","https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u","$456.89","Aabalat Fine & Rare Wines","1994Angelus StEmilion,Red Blend","USA (CA)"
11350,"Ch Angelus",1994,"750ml","https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u","$946.89","Aabalat Fine & Rare Wines","1994Angelus StEmilion,Red Blend","USA (CA)"
11350,"Ch Angelus",1994,"750ml","https://www.wine-searcher.com/find/ch+angelus/1994/-/-/u","$1499.00","K&L Wine Merchants","1994Angelus St-Emilion(3L)","USA (CA)"
11351,"Ch Angelus",2000,"750ml","https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u","$449.98","Wine Exchange","Angelus Saint Emilion2000","USA (CA)"
11351,"Ch Angelus",2000,"750ml","https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u","$475.00","Golden West International","Chateau Angelus2000","USA (CA)"
11351,"Ch Angelus",2000,"750ml","https://www.wine-searcher.com/find/ch+angelus/2000/-/-/u","$655.00","The Redd Collection","2000Ch Angelus","USA (CA)"
11352,"Ch Angelus",2002,"750ml","https://www.wine-searcher.com/find/ch+angelus/2002/-/-/u","$320.00","Vinfolio","2002Angelus750ML","USA (CA)"
11352,"Ch Angelus",2002,"750ml","https://www.wine-searcher.com/find/ch+angelus/2002/-/-/u","$411.00","The Redd Collection","2002Ch Angelus","USA (CA)"
11353,"Ch Angelus",2003,"750ml","https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u","$375.00","RL Liquid Assets","Angelus2003750mL","USA (CA)"
11353,"Ch Angelus",2003,"750ml","https://www.wine-searcher.com/find/ch+angelus/2003/-/-/u","$430.00","The Redd Collection","2003Ch Angelus","USA (CA)"
11354,"Ch Angelus",2004,"750ml","https://www.wine-searcher.com/find/ch+angelus/2004/-/-/u","$390.00","The Redd Collection","2004Ch Angelus","USA (CA)"
11355,"Ch Angelus",2006,"750ml","https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u","$390.00","The Redd Collection","2006Ch Angelus","USA (CA)"
11355,"Ch Angelus",2006,"750ml","https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u","$390.00","Westgarth Wines","2006Angelus","USA (CA)"
11355,"Ch Angelus",2006,"750ml","https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u","$399.99","Wine House","2006Chateau Angelus StEmilion750ml","USA (CA)"
11355,"Ch Angelus",2006,"750ml","https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u","$409.99","Remedy Wine & Spirits","CHATEAUANGELUSREDWINEPREMIERGRANDCRUCLASSESAINEMILIONFRANCE2006","USA (CA)"
11355,"Ch Angelus",2006,"750ml","https://www.wine-searcher.com/find/ch+angelus/2006/-/-/u","$4675.00","Westgarth Wines","2006Angelus","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$250.00","Fine Wines International","2014Chateau Angelus,Saint-Emilion Grand Cru,France750ml","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$259.99","Hi-Time Wine Cellars","ANGELUS2014STEMILION","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$279.99","Wine.com","2014Chateau Angelus","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$283.50","Wally's Wine & Spirits","2014Chateau Angelus750mL,2014","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$295.95","Aabalat Fine & Rare Wines","2014Angelus StEmilion,Red Blend","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$297.00","The Redd Collection","2014Ch Angelus","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$335.00","Vinfolio","2014Angelus750ML","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$339.98","Wine Exchange","Angelus Saint Emilion2014Pre-Arrival","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$349.95","Gil Turner's Fine Wines and Spirits","2014Chateau Angelus St.Emilion(750ML)","USA (CA)"
11356,"Ch Angelus",2014,"750ml","https://www.wine-searcher.com/find/ch+angelus/2014/-/-/u","$567.00","Wally's Wine & Spirits","2014Chateau Angelus1.5L,2014","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$383.00","Westgarth Wines","2015Angelus","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$385.00","European Wine Resource","2015Angelus","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$392.00","The Redd Collection","2015Ch Angelus","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$399.95","K&L Wine Merchants","2015Angelus St-Emilion","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$399.97","Total Wine & More, Sacramento Arden","2015Chateau Angelus StEmilion,Bordeaux Blend,Saint-Emilion,Bordeaux,France","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$399.98","Wine Exchange","Angelus Saint Emilion2015Pre-Arrival","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$432.95","Aabalat Fine & Rare Wines","2015Angelus StEmilion,Red Blend","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$450.00","Wally's Wine & Spirits","2015Chateau Angelus750mL,2015","USA (CA)"
11357,"Ch Angelus",2015,"750ml","https://www.wine-searcher.com/find/ch+angelus/2015/-/-/u","$490.00","Vinfolio","2015Angelus750ML","USA (CA)"
11358,"Ch Beausejour-Duffau",1990,"750ml","https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u","$675.00","No Limit Fine Wines","1990Beausejour Duffau Bordeaux","USA (CA)"
11358,"Ch Beausejour-Duffau",1990,"750ml","https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u","$999.99","DOB Wines/Duke of Bourbon","Chateau Beausejour1990Bordeaux Saint-Emilion","USA (CA)"
11358,"Ch Beausejour-Duffau",1990,"750ml","https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u","$1259.00","The Redd Collection","1990Ch Beausejour-Duffau","USA (CA)"
11358,"Ch Beausejour-Duffau",1990,"750ml","https://www.wine-searcher.com/find/beau+sejour+duffau/1990/-/-/u","$1259.89","Aabalat Fine & Rare Wines","1990Beausejour Duffau Lagarrosse StEmilion,Red Blend","USA (CA)"
11359,"Ch Beychevelle",1995,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/1995/-/-/u","$127.00","The Redd Collection","1995Ch Beychevelle","USA (CA)"
11360,"Ch Beychevelle",2000,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2000/-/-/u","$139.00","FineWineCollector.com","2000Ch.Beychevelle,Bordeaux St.Julien","USA (CA)"
11360,"Ch Beychevelle",2000,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2000/-/-/u","$145.00","Vinfolio","2000Beychevelle750ML","USA (CA)"
11360,"Ch Beychevelle",2000,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2000/-/-/u","$149.00","Benchmark Wine Group","Beychevelle2000","USA (CA)"
11360,"Ch Beychevelle",2000,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2000/-/-/u","$181.65","Aabalat Fine & Rare Wines","2000Beychevelle StJulien,Red Blend","USA (CA)"
11360,"Ch Beychevelle",2000,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2000/-/-/u","$182.00","The Redd Collection","2000Ch Beychevelle","USA (CA)"
11360,"Ch Beychevelle",2000,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2000/-/-/u","$599.00","Benchmark Wine Group","Beychevelle20003L","USA (CA)"
11361,"Ch Beychevelle",2003,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2003/-/-/u","$79.99","K&L Wine Merchants","2003Beychevelle St-Julien","USA (CA)"
11361,"Ch Beychevelle",2003,"750ml","https://www.wine-searcher.com/find/ch+beychevelle/2003/-/-/u","$127.00","The Redd Collection","2003Ch Beychevelle","USA (CA)"
11362,"Ch Canon",1990,"750ml","https://www.wine-searcher.com/find/ch+canon/1990/-/-/u","$132.00","The Redd Collection","1990Ch Canon","USA (CA)"
11362,"Ch Canon",1990,"750ml","https://www.wine-searcher.com/find/ch+canon/1990/-/-/u","$224.75","Aabalat Fine & Rare Wines","1990Canon StEmilion,Red Blend","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$96.95","Aabalat Fine & Rare Wines","2010Canon StEmilion,Red Blend","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$129.94","JJ Buckley Fine Wines","2010Canon Bordeaux Blend,St Emilion","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$135.00","European Wine Resource","2010Chateau Canon","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$139.00","The Redd Collection","2010Ch Canon","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$139.95","Laguna Cellar","Chateau Canon2010,Saint-Emilion","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$148.00","Westgarth Wines","2010Canon(Saint Emilion)","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$149.00","Belmont Wine Exchange LLC","2010Canon","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$159.99","Wine.com","2010Chateau Canon","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$173.50","Aabalat Fine & Rare Wines","2010Canon StEmilion,Red Blend","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$188.99","Wally's Wine & Spirits","2010Chateau Canon750mL,2010","USA (CA)"
11363,"Ch Canon",2010,"750ml","https://www.wine-searcher.com/find/ch+canon/2010/-/-/u","$802.95","Aabalat Fine & Rare Wines","2010Canon StEmilion,Red Blend","USA (CA)"
11364,"Ch Canon La Gaffeliere",2000,"750ml","https://www.wine-searcher.com/find/ch+canon+la+gaffeliere/2000/-/-/u","$120.00","Guido's Wine","Canon LaGaffeliere2000,750ml","USA (CA)"
11364,"Ch Canon La Gaffeliere",2000,"750ml","https://www.wine-searcher.com/find/ch+canon+la+gaffeliere/2000/-/-/u","$139.00","The Redd Collection","2000Ch Canon LaGaffeliere","USA (CA)"
11364,"Ch Canon La Gaffeliere",2000,"750ml","https://www.wine-searcher.com/find/ch+canon+la+gaffeliere/2000/-/-/u","$145.00","Belmont Wine Exchange LLC","2000Canon LaGaffeliere","USA (CA)"
11364,"Ch Canon La Gaffeliere",2000,"750ml","https://www.wine-searcher.com/find/ch+canon+la+gaffeliere/2000/-/-/u","$149.00","Aabalat Fine & Rare Wines","2000Canon LaGaffeliere StEmilion,Red Blend","USA (CA)"
11364,"Ch Canon La Gaffeliere",2000,"750ml","https://www.wine-searcher.com/find/ch+canon+la+gaffeliere/2000/-/-/u","$161.00","EC Cellars LLC","2000Chateau Canonla Gaffeliere,Saint-Emilion Grand Cru,France","USA (CA)"
11365,"Ch Cheval Blanc",1986,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1986/-/-/u","$475.00","Clarets","1986Cheval Blanc","USA (CA)"
11365,"Ch Cheval Blanc",1986,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1986/-/-/u","$538.00","The Redd Collection","1986Ch Cheval Blanc","USA (CA)"
11366,"Ch Cheval Blanc",1988,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1986/-/-/u","$475.00","Clarets","1986Cheval Blanc","USA (CA)"
11366,"Ch Cheval Blanc",1988,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1986/-/-/u","$538.00","The Redd Collection","1986Ch Cheval Blanc","USA (CA)"
11367,"Ch Cheval Blanc",1992,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1992/-/-/u","$443.00","The Redd Collection","1992Ch Cheval Blanc","USA (CA)"
11368,"Ch Cheval Blanc",1993,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1993/-/-/u","$395.00","RL Liquid Assets","Cheval Blanc1993750mL","USA (CA)"
11368,"Ch Cheval Blanc",1993,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1993/-/-/u","$455.00","The Redd Collection","1993Ch Cheval Blanc","USA (CA)"
11368,"Ch Cheval Blanc",1993,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1993/-/-/u","$569.89","Aabalat Fine & Rare Wines","1993Cheval Blanc StEmilion,Red Blend","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$435.00","RL Liquid Assets","Cheval Blanc1995750mL(Nicked Label)","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$450.00","RL Liquid Assets","Cheval Blanc1995750mL","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$474.98","Wine Exchange","Cheval Blanc Saint Emilion1995","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$485.00","Clarets","1995Cheval Blanc","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$495.00","Gil Turner's Fine Wines and Spirits","1995Chateau Cheval Blanc St.Emilion(750ML)","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$549.99","Flask Fine Wine & Whisky","Chateau Cheval-Blanc-St.-Emilion1995","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$582.00","The Redd Collection","1995Ch Cheval Blanc","USA (CA)"
11369,"Ch Cheval Blanc",1995,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1995/-/-/u","$586.00","Westgarth Wines","1995Cheval Blanc","USA (CA)"
11370,"Ch Cheval Blanc",1996,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1996/-/-/u","$525.00","Clarets","1996Cheval Blanc","USA (CA)"
11370,"Ch Cheval Blanc",1996,"750ml","https://www.wine-searcher.com/find/ch+cheval+blanc/1996/-/-/u","$531.00","The Redd Collection","1996Ch Cheval Blanc","USA (CA)"
